Tanggal,Curah_Hujan
2025-10-29,0.5
2025-10-30,0.71
2025-10-31,0.69
2025-11-01,2.69
2025-11-02,3.11
2025-11-03,3.71
2025-11-04,13.2
2025-11-05,4.58
2025-11-06,6.45
2025-11-07,13.82
2025-11-08,7.99
2025-11-09,8.64
2025-11-10,7.23
2025-11-11,25.51
2025-11-12,9.66
2025-11-13,2.14
2025-11-14,1.6
2025-11-15,10.92
2025-11-16,23.82
2025-11-17,45.74
2025-11-18,13.08
2025-11-19,26.08
2025-11-20,42.54
2025-11-21,45.04
2025-11-22,53.26
2025-11-23,59.32
2025-11-24,77.57
2025-11-25,50.66
2025-11-26,32.51
2025-11-27,62.68
2025-11-28,33.49
2025-11-29,10.77
2025-11-30,8.04
2025-12-01,3.41
2025-12-02,3.72
2025-12-03,17.57
2025-12-04,0.51
2025-12-05,2.98
2025-12-06,6.15
2025-12-07,32.43
2025-12-08,20.57
2025-12-09,61.67
2025-12-10,70.7
2025-12-11,23.83
2025-12-12,13.52
2025-12-13,21.14
2025-12-14,20.96
2025-12-15,10.89
2025-12-16,16.73
2025-12-17,14.48
2025-12-18,11.04
2025-12-19,4.52
2025-12-20,6.26
2025-12-21,6.13
2025-12-22,4.64
2025-12-23,1.82
2025-12-24,2.49
2025-12-25,20.99
2025-12-26,10.25
2025-12-27,4.19
2025-12-28,14.15
2025-12-29,18.97
2025-12-30,30.79
2025-12-31,15.23
