Bulan_Tahun,Curah_Hujan,Time_Index,Kategori
2025-05-24,2.13,510,Rendah
2025-05-25,3.03,511,Rendah
2025-05-26,0.9,512,Rendah
2025-05-27,0.62,513,Rendah
2025-05-28,2.21,514,Rendah
2025-05-29,0.33,515,Rendah
2025-05-30,0.47,516,Rendah
2025-05-31,6.9,517,Rendah
2025-06-01,2.06,518,Rendah
2025-06-02,3.9,519,Rendah
2025-06-03,2.42,520,Rendah
2025-06-04,7.62,521,Rendah
2025-06-05,11.37,522,Rendah
2025-06-06,19.34,523,Rendah
2025-06-07,4.0,524,Rendah
2025-06-08,3.06,525,Rendah
2025-06-09,12.97,526,Rendah
2025-06-10,16.46,527,Rendah
2025-06-11,2.78,528,Rendah
2025-06-12,0.68,529,Rendah
2025-06-13,0.85,530,Rendah
2025-06-14,1.26,531,Rendah
2025-06-15,3.64,532,Rendah
2025-06-16,29.61,533,Rendah
2025-06-17,28.0,534,Rendah
2025-06-18,2.12,535,Rendah
2025-06-19,0.54,536,Rendah
2025-06-20,0.89,537,Rendah
2025-06-21,0.53,538,Rendah
2025-06-22,3.01,539,Rendah
2025-06-23,1.04,540,Rendah
2025-06-24,0.76,541,Rendah
2025-06-25,0.12,542,Rendah
2025-06-26,0.33,543,Rendah
2025-06-27,0.82,544,Rendah
2025-06-28,5.86,545,Rendah
2025-06-29,0.11,546,Rendah
2025-06-30,0.79,547,Rendah
2025-07-01,0.3,548,Rendah
2025-07-02,1.02,549,Rendah
2025-07-03,0.3,550,Rendah
2025-07-04,1.29,551,Rendah
2025-07-05,5.18,552,Rendah
2025-07-06,13.67,553,Rendah
2025-07-07,2.53,554,Rendah
2025-07-08,26.13,555,Rendah
2025-07-09,20.47,556,Rendah
2025-07-10,1.17,557,Rendah
2025-07-11,4.19,558,Rendah
2025-07-12,1.06,559,Rendah
2025-07-13,12.53,560,Rendah
2025-07-14,25.02,561,Rendah
2025-07-15,2.56,562,Rendah
2025-07-16,0.28,563,Rendah
2025-07-17,0.07,564,Rendah
2025-07-18,0.03,565,Rendah
2025-07-19,0.08,566,Rendah
2025-07-20,9.07,567,Rendah
2025-07-21,6.99,568,Rendah
2025-07-22,1.22,569,Rendah
2025-07-23,0.96,570,Rendah
2025-07-24,1.35,571,Rendah
2025-07-25,24.42,572,Rendah
2025-07-26,13.47,573,Rendah
2025-07-27,4.32,574,Rendah
2025-07-28,7.0,575,Rendah
2025-07-29,12.35,576,Rendah
2025-07-30,18.09,577,Rendah
2025-07-31,3.22,578,Rendah
2025-08-01,14.45,579,Rendah
2025-08-02,13.06,580,Rendah
2025-08-03,2.61,581,Rendah
2025-08-04,8.47,582,Rendah
2025-08-05,2.42,583,Rendah
2025-08-06,3.13,584,Rendah
2025-08-07,17.31,585,Rendah
